    
   


   Campaign,"Ad Group","Max CPC",Keyword,Type,"Headline 1","Headline 2",Description,"Sitelink text","Path 1","Path 2","Final URL"
BestDeals.ai,Adidas,,,,,,,"Adidas Deals",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Best Brands",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Today's Deals",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Up To 70% Off",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Realtime Deals",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Save Money",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Adidas Sale",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Adidas Offers",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Cheapest Adidas",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,,,,,,,"Cheap Adidas",,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,0.5,,,,,,,,,,
BestDeals.ai,Adidas,,,,"Adidas Sale","Up to 70% Off Sale","Big Adidas Sale, Up To 70% Off Sale For Only Today. Offers On All Adidas Products.",,Adidas,,https://www.bestdeals.ai/adidas,
BestDeals.ai,Adidas,0.5," +Buy +Adidas +Sales",Broad,,,,,,,,
BestDeals.ai,Adidas,0.5," +Cheap +Adidas +deals",Broad,,,,,,,,
BestDeals.ai,Adidas,0.5," +Cheapest +Adidas +deal",Broad,,,,,,,,
BestDeals.ai,Adidas,0.5," +Flat +Adidas +offer",Broad,,,,,,,,
BestDeals.ai,Adidas,0.5," +New +Adidas +Offers",Broad,,,,,,,,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Aeffe S.P.A Deals",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Best Brands",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Today's Deals",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Up To 70% Off",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Realtime Deals",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Save Money",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Aeffe S.P.A Sale",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Aeffe S.P.A Offers",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Cheapest Aeffe S.P.A",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",,,,,,,"Cheap Aeffe S.P.A",,,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",0.5,,,,,,,,,,
BestDeals.ai,"Aeffe S.P.A",,,,"Aeffe S.P.A Sale","Up to 70% Off Sale","Special Deals On Aeffe S.P.A Sale. Up To 70% Offer On Aeffe S.P.A, Only For Today.",,Aeffe,SPA,https://www.bestdeals.ai/aeffe-spa,
BestDeals.ai,"Aeffe S.P.A",0.5," +Buy +Aeffe +S.P.A +Sales",Broad,,,,,,,,
BestDeals.ai,"Aeffe S.P.A",0.5," +Cheap +Aeffe +S.P.A +deals",Broad,,,,,,,,
BestDeals.ai,"Aeffe S.P.A",0.5," +Cheapest +Aeffe +S.P.A +deal",Broad,,,,,,,,
BestDeals.ai,"Aeffe S.P.A",0.5," +Flat +Aeffe +S.P.A +offer",Broad,,,,,,,,
BestDeals.ai,"Aeffe S.P.A",0.5," +New +Aeffe +S.P.A +Offers",Broad,,,,,,,,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,,,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,"Best Brands",,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,"Today's Deals",,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,"Up To 70% Off",,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,"Realtime Deals",,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,"Save Money",,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,,,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,,,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,,,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,,,,,,,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",0.5,,,,,,,,,,
BestDeals.ai,"Agatha Brand and Agatha Agensis",,,,"Agatha Brand","Up to 70% Off Sale","Special Deals On Agatha Brand and Agatha Agensis Sale. Up To 70% Off, Only For Today.",,Agatha,Brand,https://www.bestdeals.ai/agatha-brand-and-agatha-agensis,
BestDeals.ai,"Agatha Brand and Agatha Agensis",0.5," +Buy +Agatha +Brand +and +Agatha +Agensis +Sales",Broad,,,,,,,,
BestDeals.ai,"Agatha Brand and Agatha Agensis",0.5," +Cheap +Agatha +Brand +and +Agatha +Agensis +deals",Broad,,,,,,,,
BestDeals.ai,"Agatha Brand and Agatha Agensis",0.5," +Cheapest +Agatha +Brand +and +Agatha +Agensis +deal",Broad,,,,,,,,
BestDeals.ai,"Agatha Brand and Agatha Agensis",0.5," +Flat +Agatha +Brand +and +Agatha +Agensis +offer",Broad,,,,,,,,
BestDeals.ai,"Agatha Brand and Agatha Agensis",0.5," +New +Agatha +Brand +and +Agatha +Agensis +Offers",Broad,,,,,,,,
BestDeals.ai,"Agnes B",,,,,,,"Agnes B Deals",,,https://www.bestdeals.ai/agnes-b,
BestDeals.ai,"Agnes B",,,,,,,"Best Brands",,,https://www.bestdeals.ai/agnes-b,
BestDeals.ai,"Agnes B",,,,,,,"Today's Deals",,,https://www.bestdeals.ai/agnes-b,
BestDeals.ai,"Agnes B",,,,,,,"Up To 70% Off",,,https://www.bestdeals.ai/agnes-b,
BestDeals.ai,"Agnes B",,,,,,,"Realtime Deals",,,https://www.bestdeals.ai/agnes-b,
BestDeals.ai,"Agnes B",,,,,,,"Save Money",,,https://www.bestdeals.ai/agnes-b,
BestDeals.ai,"Agnes B",,,,,,,"Agnes B Sale",,,https://www.bestdeals.ai/agnes-b,
